Designator,Mid X,Mid Y,Rotation,Layer
C1,139.1,-79.85,90.0,top
C2,143.95,-79.85,90.0,top
C3,152.4,-78.55,90.0,top
C4,147.2,-78.55,90.0,top
C5,148.545,-94.5,90.0,top
C6,142.6525,-94.5,90.0,top
J1,149.7,-86.35,0.0,bottom
J10,110.722167,-84.821008,282.0,top
J11,110.722167,-74.425423,258.0,top
J12,114.950433,-64.928584,234.0,top
J13,122.675857,-57.97258,210.0,top
J14,132.562646,-54.760168,186.0,top
J15,142.901282,-55.846803,162.0,top
J16,151.904123,-61.044595,138.0,top
J17,158.014494,-69.454799,114.0,top
J2,132.2,-64.35,270.0,bottom
J3,160.175857,-79.623216,90.0,top
J4,151.904123,-98.201836,42.0,top
J5,158.014494,-89.791632,66.0,top
J6,142.901282,-103.399628,18.0,top
J7,132.562646,-104.486263,354.0,top
J8,122.675858,-101.273851,330.0,top
J9,114.950433,-94.317847,306.0,top
R1,145.15,-91.75,0.0,top
R4,137.6,-80.3,180.0,top
R5,142.9,-79.85,270.0,top
U1,149.8,-78.05,180.0,top
U2,141.73,-85.05,0.0,top
U3,145.245,-93.95,180.0,top
